Age,Premium
47,9900
50,10500
60,12500
39,8300
29,6300
74,15300
64,13300
72,14900
68,14100
70,14500
55,11500
38,8100
57,11900
33,7100
19,4300
74,15300
70,14500
36,7700
74,15300
20,4500
44,9300
27,5900
26,5700
28,6100
61,12700
22,4900
32,6900
49,10300
36,7700
30,6500
62,12900
73,15100
64,13300
74,15300
69,14300
36,7700
67,13900
33,7100
33,7100
51,10700
62,12900
64,13300
71,14700
56,11700
70,14500
30,6500
31,6700
20,4500
20,4500
56,11700
58,12100
49,10300
39,8300
64,13300
29,6300
51,10700
35,7500
34,7300
56,11700
19,4300
35,7500
63,13100
22,4900
43,9100
47,9900
26,5700
37,7900
56,11700
22,4900
60,12500
68,14100
36,7700
23,5100
53,11100
35,7500
39,8300
48,10100
29,6300
61,12700
63,13100
27,5900
18,4100
71,14700
48,10100
42,8900
30,6500
32,6900
18,4100
53,11100
61,12700
35,7500
35,7500
40,8500
62,12900
50,10500
65,13500
19,4300
58,12100
65,13500
69,14300
20,4500
46,9700
68,14100
53,11100
64,13300
27,5900
19,4300
44,9300
43,9100
65,13500
50,10500
40,8500
34,7300
31,6700
29,6300
38,8100
45,9500
19,4300
74,15300
64,13300
33,7100
48,10100
47,9900
49,10300
49,10300
45,9500
62,12900
43,9100
66,13700
40,8500
25,5500
44,9300
36,7700
42,8900
63,13100
55,11500
19,4300
70,14500
23,5100
60,12500
45,9500
33,7100
37,7900
18,4100
48,10100
22,4900
44,9300
35,7500
50,10500
70,14500
66,13700
69,14300
60,12500
49,10300
50,10500
74,15300
23,5100
37,7900
34,7300
64,13300
50,10500
24,5300
37,7900
28,6100
52,10900
57,11900
40,8500
41,8700
67,13900
44,9300
23,5100
42,8900
54,11300
32,6900
46,9700
54,11300
74,15300
65,13500
31,6700
65,13500
57,11900
28,6100
43,9100
25,5500
60,12500
49,10300
73,15100
73,15100
39,8300
38,8100
36,7700
27,5900
38,8100
43,9100
63,13100
49,10300
40,8500
25,5500
19,4300
29,6300
30,6500
25,5500
48,10100
40,8500
20,4500
51,10700
24,5300
42,8900
61,12700
32,6900
66,13700
51,10700
55,11500
27,5900
67,13900
51,10700
22,4900
31,6700
48,10100
19,4300
36,7700
47,9900
43,9100
68,14100
59,12300
29,6300
42,8900
73,15100
28,6100
65,13500
22,4900
21,4700
26,5700
52,10900
49,10300
35,7500
68,14100
32,6900
25,5500
28,6100
19,4300
50,10500
67,13900
62,12900
30,6500
22,4900
74,15300
33,7100
55,11500
23,5100
30,6500
74,15300
19,4300
61,12700
61,12700
34,7300
21,4700
27,5900
69,14300
73,15100
30,6500
71,14700
67,13900
51,10700
41,8700
27,5900
61,12700
32,6900
65,13500
35,7500
29,6300
35,7500
69,14300
48,10100
57,11900
27,5900
56,11700
33,7100
44,9300
69,14300
19,4300
42,8900
18,4100
73,15100
18,4100
19,4300
18,4100
32,6900
59,12300
30,6500
38,8100
45,9500
50,10500
23,5100
67,13900
51,10700
67,13900
47,9900
23,5100
25,5500
51,10700
31,6700
59,12300
24,5300
72,14900
68,14100
30,6500
41,8700
35,7500
31,6700
54,11300
54,11300
53,11100
68,14100
31,6700
36,7700
69,14300
31,6700
57,11900
65,13500
52,10900
63,13100
62,12900
39,8300
60,12500
44,9300
22,4900
40,8500
39,8300
48,10100
40,8500
61,12700
24,5300
67,13900
27,5900
40,8500
73,15100
29,6300
21,4700
47,9900
37,7900
59,12300
54,11300
55,11500
60,12500
27,5900
28,6100
57,11900
28,6100
50,10500
31,6700
50,10500
39,8300
69,14300
72,14900
41,8700
42,8900
23,5100
68,14100
62,12900
66,13700
36,7700
46,9700
51,10700
36,7700
66,13700
27,5900
26,5700
27,5900
74,15300
45,9500
21,4700
30,6500
45,9500
30,6500
51,10700
62,12900
36,7700
27,5900
37,7900
64,13300
74,15300
35,7500
22,4900
66,13700
43,9100
19,4300
45,9500
41,8700
27,5900
38,8100
74,15300
19,4300
60,12500
32,6900
35,7500
31,6700
25,5500
62,12900
29,6300
53,11100
34,7300
24,5300
56,11700
73,15100
49,10300
74,15300
19,4300
46,9700
68,14100
31,6700
29,6300
27,5900
27,5900
26,5700
22,4900
67,13900
27,5900
38,8100
33,7100
28,6100
28,6100
22,4900
28,6100
26,5700
55,11500
36,7700
65,13500
65,13500
50,10500
40,8500
58,12100
46,9700
69,14300
35,7500
27,5900
50,10500
34,7300
32,6900
52,10900
65,13500
64,13300
43,9100
21,4700
34,7300
40,8500
34,7300
38,8100
39,8300
34,7300
61,12700
39,8300
57,11900
56,11700
60,12500
44,9300
36,7700
23,5100
28,6100
49,10300
51,10700
72,14900
50,10500
60,12500
55,11500
73,15100
62,12900
73,15100
52,10900
28,6100
51,10700
55,11500
74,15300
31,6700
59,12300
71,14700
48,10100
47,9900
35,7500
24,5300
72,14900
62,12900
58,12100
48,10100
40,8500
31,6700
49,10300
25,5500
55,11500
44,9300
30,6500
43,9100
71,14700
72,14900
20,4500
72,14900
37,7900
60,12500
31,6700
27,5900
57,11900
69,14300
24,5300
26,5700
50,10500
74,15300
64,13300
52,10900
48,10100
19,4300
39,8300
20,4500
21,4700
38,8100
40,8500
50,10500
24,5300
27,5900
50,10500
60,12500
73,15100
24,5300
59,12300
64,13300
50,10500
24,5300
28,6100
55,11500
52,10900
45,9500
66,13700
62,12900
61,12700
18,4100
40,8500
36,7700
71,14700
73,15100
58,12100
72,14900
40,8500
65,13500
22,4900
31,6700
59,12300
45,9500
27,5900
68,14100
55,11500
47,9900
58,12100
34,7300
70,14500
41,8700
50,10500
71,14700
24,5300
22,4900
52,10900
59,12300
61,12700
19,4300
64,13300
24,5300
59,12300
29,6300
48,10100
43,9100
66,13700
31,6700
22,4900
19,4300
54,11300
38,8100
36,7700
21,4700
62,12900
43,9100
52,10900
55,11500
19,4300
44,9300
35,7500
56,11700
51,10700
55,11500
40,8500
63,13100
38,8100
52,10900
64,13300
73,15100
24,5300
24,5300
25,5500
40,8500
45,9500
70,14500
23,5100
74,15300
62,12900
59,12300
20,4500
55,11500
42,8900
51,10700
48,10100
44,9300
71,14700
22,4900
58,12100
31,6700
32,6900
41,8700
21,4700
53,11100
31,6700
48,10100
34,7300
21,4700
18,4100
20,4500
23,5100
74,15300
30,6500
34,7300
49,10300
74,15300
25,5500
36,7700
25,5500
21,4700
62,12900
64,13300
45,9500
20,4500
25,5500
40,8500
52,10900
64,13300
33,7100
22,4900
47,9900
65,13500
25,5500
69,14300
19,4300
28,6100
23,5100
69,14300
73,15100
45,9500
29,6300
60,12500
22,4900
53,11100
46,9700
57,11900
48,10100
69,14300
40,8500
34,7300
68,14100
56,11700
62,12900
23,5100
33,7100
42,8900
54,11300
60,12500
40,8500
46,9700
35,7500
42,8900
40,8500
40,8500
68,14100
59,12300
31,6700
30,6500
36,7700
27,5900
72,14900
40,8500
68,14100
26,5700
34,7300
55,11500
57,11900
63,13100
68,14100
36,7700
38,8100
49,10300
41,8700
26,5700
34,7300
45,9500
41,8700
25,5500
48,10100
48,10100
39,8300
22,4900
31,6700
72,14900
45,9500
48,10100
30,6500
55,11500
60,12500
60,12500
32,6900
30,6500
44,9300
74,15300
45,9500
57,11900
49,10300
66,13700
33,7100
24,5300
31,6700
19,4300
63,13100
56,11700
18,4100
48,10100
53,11100
66,13700
67,13900
30,6500
37,7900
50,10500
39,8300
51,10700
26,5700
55,11500
55,11500
48,10100
21,4700
58,12100
18,4100
18,4100
32,6900
51,10700
19,4300
39,8300
36,7700
66,13700
63,13100
34,7300
39,8300
31,6700
37,7900
73,15100
23,5100
55,11500
23,5100
74,15300
62,12900
67,13900
24,5300
64,13300
35,7500
72,14900
58,12100
36,7700
22,4900
29,6300
49,10300
45,9500
68,14100
28,6100
38,8100
44,9300
19,4300
60,12500
55,11500
69,14300
61,12700
60,12500
28,6100
29,6300
31,6700
25,5500
19,4300
29,6300
62,12900
57,11900
48,10100
65,13500
54,11300
26,5700
30,6500
64,13300
74,15300
40,8500
67,13900
69,14300
71,14700
49,10300
74,15300
31,6700
67,13900
26,5700
49,10300
33,7100
58,12100
68,14100
19,4300
73,15100
50,10500
54,11300
23,5100
49,10300
47,9900
73,15100
46,9700
21,4700
34,7300
47,9900
61,12700
70,14500
44,9300
69,14300
39,8300
28,6100
27,5900
43,9100
18,4100
73,15100
25,5500
21,4700
30,6500
58,12100
32,6900
32,6900
25,5500
71,14700
74,15300
51,10700
48,10100
59,12300
38,8100
61,12700
61,12700
40,8500
21,4700
24,5300
58,12100
65,13500
66,13700
71,14700
23,5100
27,5900
43,9100
43,9100
24,5300
41,8700
41,8700
26,5700
33,7100
68,14100
47,9900
59,12300
21,4700
66,13700
25,5500
22,4900
36,7700
43,9100
58,12100
22,4900
48,10100
71,14700
29,6300
46,9700
30,6500
67,13900
45,9500
54,11300
26,5700
36,7700
44,9300
33,7100
58,12100
32,6900
20,4500
25,5500
67,13900
40,8500
44,9300
39,8300
61,12700
47,9900
48,10100
45,9500
74,15300
67,13900
37,7900
60,12500
21,4700
60,12500
69,14300
59,12300
54,11300
54,11300
34,7300
24,5300
57,11900
19,4300
60,12500
42,8900
60,12500
30,6500
34,7300
24,5300
61,12700
41,8700
20,4500
44,9300
46,9700
45,9500
25,5500
25,5500
61,12700
35,7500
46,9700
72,14900
48,10100
32,6900
42,8900
47,9900
42,8900
25,5500
43,9100
22,4900
74,15300
18,4100
37,7900
29,6300
26,5700
31,6700
30,6500
63,13100
65,13500
54,11300
68,14100
42,8900
60,12500
35,7500
37,7900
22,4900
18,4100
21,4700
37,7900
53,11100
48,10100
74,15300
31,6700
58,12100
23,5100
18,4100
35,7500
48,10100
63,13100
55,11500
36,7700
46,9700
64,13300
19,4300
56,11700
65,13500
31,6700
21,4700
54,11300
47,9900
52,10900
23,5100
23,5100
49,10300
71,14700
29,6300
19,4300
32,6900
43,9100
48,10100
32,6900
51,10700
70,14500
24,5300
58,12100
53,11100
31,6700
62,12900
42,8900
43,9100
18,4100
40,8500
38,8100
29,6300
74,15300
34,7300
20,4500
72,14900
73,15100
56,11700
50,10500
45,9500
58,12100
68,14100
51,10700
19,4300
67,13900
52,10900
41,8700
52,10900
29,6300
28,6100
34,7300
57,11900
66,13700
37,7900
40,8500
66,13700
34,7300
68,14100
21,4700
29,6300
31,6700
52,10900
33,7100
57,11900
47,9900
53,11100
62,12900
50,10500
62,12900
54,11300
24,5300
74,15300
50,10500
23,5100
30,6500
18,4100
18,4100
48,10100
46,9700
62,12900
54,11300
74,15300
64,13300
64,13300
42,8900
39,8300
60,12500
42,8900
33,7100
28,6100
31,6700
72,14900
32,6900
49,10300
32,6900
39,8300
33,7100
39,8300
44,9300
36,7700
58,12100
44,9300
61,12700
69,14300
25,5500
35,7500
74,15300
62,12900
20,4500
54,11300
42,8900
41,8700
30,6500
29,6300
60,12500
41,8700
48,10100
28,6100
40,8500
50,10500
44,9300
69,14300
52,10900
36,7700
74,15300
26,5700
49,10300
51,10700
21,4700
39,8300
27,5900
67,13900
66,13700
48,10100
23,5100
73,15100
34,7300
54,11300
72,14900
39,8300
31,6700
49,10300
34,7300
26,5700
49,10300
36,7700
63,13100
72,14900
29,6300
65,13500
33,7100
25,5500
71,14700
21,4700
62,12900
55,11500
51,10700
56,11700
62,12900
73,15100
20,4500
63,13100
28,6100
53,11100
56,11700
32,6900
62,12900
73,15100
54,11300
19,4300
44,9300
28,6100
69,14300
37,7900
37,7900
46,9700
22,4900
20,4500
58,12100
70,14500
35,7500
64,13300
45,9500
67,13900
42,8900
51,10700
57,11900
65,13500
51,10700
64,13300
71,14700
56,11700
23,5100
35,7500
54,11300
22,4900
54,11300
43,9100
23,5100
19,4300
66,13700
26,5700
49,10300
19,4300
56,11700
56,11700
54,11300
23,5100
30,6500
72,14900
29,6300
74,15300
70,14500
59,12300
33,7100
69,14300
22,4900
56,11700
38,8100
44,9300
32,6900
64,13300
40,8500
63,13100
39,8300
49,10300
44,9300
55,11500
67,13900
57,11900
59,12300
40,8500
20,4500
45,9500
29,6300
72,14900
68,14100
41,8700
39,8300
24,5300
41,8700
50,10500
45,9500
37,7900
40,8500
42,8900
46,9700
70,14500
22,4900
64,13300
74,15300
64,13300
40,8500
25,5500
49,10300
39,8300
56,11700
47,9900
72,14900
71,14700
71,14700
22,4900
67,13900
57,11900
60,12500
31,6700
55,11500
73,15100
57,11900
46,9700
57,11900
72,14900
31,6700
28,6100
56,11700
27,5900
73,15100
38,8100
31,6700
32,6900
40,8500
33,7100
69,14300
57,11900
65,13500
47,9900
60,12500
26,5700
26,5700
56,11700
52,10900
52,10900
50,10500
66,13700
48,10100
20,4500
70,14500
33,7100
46,9700
31,6700
19,4300
25,5500
35,7500
53,11100
20,4500
36,7700
74,15300
41,8700
18,4100
47,9900
50,10500
43,9100
38,8100
31,6700
24,5300
64,13300
53,11100
37,7900
74,15300
63,13100
63,13100
21,4700
43,9100
34,7300
36,7700
62,12900
30,6500
29,6300
25,5500
48,10100
38,8100
48,10100
29,6300
49,10300
58,12100
62,12900
66,13700
64,13300
33,7100
37,7900
28,6100
42,8900
54,11300
70,14500
63,13100
25,5500
31,6700
70,14500
51,10700
55,11500
57,11900
48,10100
57,11900
42,8900
52,10900
63,13100
62,12900
19,4300
46,9700
56,11700
34,7300
31,6700
18,4100
22,4900
65,13500
70,14500
58,12100
35,7500
69,14300
60,12500
35,7500
39,8300
45,9500
49,10300
61,12700
29,6300
36,7700
31,6700
74,15300
28,6100
56,11700
71,14700
58,12100
65,13500
58,12100
70,14500
35,7500
58,12100
32,6900
60,12500
46,9700
61,12700
20,4500
41,8700
55,11500
31,6700
35,7500
29,6300
20,4500
39,8300
68,14100
63,13100
59,12300
57,11900
42,8900
60,12500
54,11300
37,7900
65,13500
50,10500
39,8300
73,15100
50,10500
23,5100
50,10500
70,14500
61,12700
54,11300
31,6700
58,12100
34,7300
40,8500
49,10300
36,7700
50,10500
47,9900
65,13500
45,9500
19,4300
66,13700
74,15300
24,5300
19,4300
58,12100
59,12300
51,10700
66,13700
27,5900
57,11900
65,13500
37,7900
44,9300
63,13100
50,10500
41,8700
64,13300
57,11900
45,9500
40,8500
19,4300
65,13500
26,5700
59,12300
42,8900
52,10900
19,4300
57,11900
68,14100
58,12100
35,7500
70,14500
38,8100
61,12700
47,9900
26,5700
23,5100
42,8900
49,10300
27,5900
38,8100
49,10300
38,8100
20,4500
29,6300
52,10900
26,5700
60,12500
33,7100
40,8500
46,9700
73,15100
32,6900
53,11100
53,11100
73,15100
67,13900
72,14900
43,9100
18,4100
25,5500
52,10900
62,12900
39,8300
57,11900
43,9100
34,7300
44,9300
46,9700
19,4300
44,9300
67,13900
55,11500
27,5900
22,4900
28,6100
50,10500
46,9700
73,15100
62,12900
61,12700
57,11900
31,6700
32,6900
30,6500
24,5300
43,9100
72,14900
39,8300
33,7100
54,11300
64,13300
68,14100
30,6500
72,14900
73,15100
49,10300
33,7100
42,8900
69,14300
48,10100
66,13700
40,8500
47,9900
25,5500
73,15100
72,14900
72,14900
20,4500
20,4500
60,12500
43,9100
20,4500
25,5500
58,12100
53,11100
35,7500
65,13500
54,11300
56,11700
39,8300
27,5900
45,9500
50,10500
68,14100
39,8300
21,4700
56,11700
52,10900
21,4700
38,8100
25,5500
37,7900
20,4500
53,11100
38,8100
28,6100
24,5300
52,10900
69,14300
18,4100
55,11500
55,11500
64,13300
63,13100
40,8500
27,5900
52,10900
19,4300
73,15100
26,5700
43,9100
21,4700
53,11100
62,12900
20,4500
68,14100
67,13900
24,5300
24,5300
47,9900
30,6500
70,14500
59,12300
36,7700
50,10500
63,13100
54,11300
28,6100
22,4900
28,6100
40,8500
62,12900
60,12500
32,6900
60,12500
50,10500
53,11100
62,12900
61,12700
36,7700
24,5300
42,8900
63,13100
63,13100
54,11300
25,5500
70,14500
39,8300
29,6300
72,14900
19,4300
72,14900
52,10900
22,4900
39,8300
49,10300
73,15100
57,11900
36,7700
19,4300
70,14500
46,9700
23,5100
38,8100
35,7500
67,13900
48,10100
56,11700
31,6700
41,8700
25,5500
56,11700
39,8300
62,12900
44,9300
56,11700
43,9100
63,13100
74,15300
38,8100
59,12300
25,5500
28,6100
39,8300
70,14500
36,7700
45,9500
63,13100
49,10300
39,8300
22,4900
21,4700
50,10500
43,9100
47,9900
42,8900
49,10300
52,10900
45,9500
35,7500
42,8900
73,15100
30,6500
27,5900
18,4100
54,11300
50,10500
18,4100
31,6700
50,10500
36,7700
33,7100
61,12700
52,10900
71,14700
27,5900
72,14900
71,14700
68,14100
33,7100
41,8700
39,8300
64,13300
71,14700
44,9300
51,10700
57,11900
55,11500
55,11500
70,14500
43,9100
39,8300
69,14300
65,13500
46,9700
58,12100
21,4700
34,7300
36,7700
47,9900
21,4700
58,12100
33,7100
18,4100
69,14300
34,7300
57,11900
43,9100
73,15100
44,9300
50,10500
54,11300
62,12900
25,5500
40,8500
37,7900
65,13500
59,12300
27,5900
60,12500
28,6100
29,6300
41,8700
34,7300
53,11100
24,5300
54,11300
53,11100
72,14900
64,13300
50,10500
37,7900
48,10100
73,15100
67,13900
41,8700
36,7700
24,5300
66,13700
25,5500
52,10900
51,10700
62,12900
23,5100
57,11900
38,8100
21,4700
37,7900
48,10100
31,6700
69,14300
34,7300
43,9100
48,10100
71,14700
53,11100
47,9900
54,11300
50,10500
43,9100
41,8700
72,14900
56,11700
53,11100
28,6100
64,13300
35,7500
73,15100
20,4500
19,4300
65,13500
71,14700
18,4100
59,12300
42,8900
42,8900
49,10300
32,6900
23,5100
48,10100
29,6300
57,11900
22,4900
47,9900
37,7900
21,4700
72,14900
67,13900
73,15100
27,5900
64,13300
37,7900
34,7300
58,12100
43,9100
53,11100
40,8500
69,14300
40,8500
71,14700
51,10700
54,11300
55,11500
52,10900
53,11100
28,6100
43,9100
72,14900
39,8300
66,13700
64,13300
59,12300
35,7500
24,5300
53,11100
56,11700
59,12300
48,10100
37,7900
63,13100
24,5300
60,12500
62,12900
18,4100
49,10300
56,11700
41,8700
24,5300
21,4700
22,4900
31,6700
46,9700
57,11900
54,11300
74,15300
71,14700
56,11700
54,11300
65,13500
59,12300
70,14500
64,13300
29,6300
56,11700
22,4900
58,12100
66,13700
47,9900
60,12500
62,12900
40,8500
50,10500
40,8500
43,9100
72,14900
57,11900
26,5700
74,15300
33,7100
46,9700
49,10300
26,5700
34,7300
18,4100
25,5500
48,10100
69,14300
74,15300
58,12100
45,9500
21,4700
57,11900
43,9100
60,12500
61,12700
42,8900
26,5700
28,6100
57,11900
19,4300
65,13500
37,7900
35,7500
24,5300
43,9100
68,14100
37,7900
41,8700
74,15300
62,12900
62,12900
59,12300
71,14700
69,14300
38,8100
23,5100
69,14300
54,11300
38,8100
62,12900
41,8700
38,8100
18,4100
47,9900
39,8300
61,12700
25,5500
69,14300
26,5700
33,7100
18,4100
57,11900
41,8700
50,10500
61,12700
44,9300
30,6500
44,9300
41,8700
70,14500
71,14700
48,10100
33,7100
18,4100
52,10900
56,11700
45,9500
45,9500
57,11900
58,12100
45,9500
32,6900
26,5700
26,5700
42,8900
65,13500
36,7700
74,15300
36,7700
37,7900
63,13100
46,9700
58,12100
42,8900
57,11900
40,8500
59,12300
70,14500
26,5700
48,10100
70,14500
72,14900
60,12500
68,14100
26,5700
55,11500
33,7100
52,10900
36,7700
71,14700
63,13100
62,12900
23,5100
23,5100
56,11700
19,4300
24,5300
56,11700
46,9700
34,7300
23,5100
46,9700
32,6900
74,15300
24,5300
53,11100
51,10700
38,8100
42,8900
50,10500
20,4500
40,8500
26,5700
45,9500
65,13500
19,4300
51,10700
38,8100
34,7300
18,4100
48,10100
40,8500
53,11100
45,9500
72,14900
67,13900
66,13700
41,8700
24,5300
61,12700
44,9300
72,14900
33,7100
59,12300
29,6300
61,12700
45,9500
64,13300
74,15300
26,5700
25,5500
47,9900
36,7700
74,15300
53,11100
41,8700
33,7100
74,15300
61,12700
59,12300
63,13100
55,11500
57,11900
22,4900
51,10700
43,9100
36,7700
61,12700
21,4700
63,13100
52,10900
47,9900
24,5300
34,7300
46,9700
54,11300
71,14700
70,14500
42,8900
34,7300
28,6100
74,15300
31,6700
27,5900
66,13700
36,7700
62,12900
24,5300
40,8500
51,10700
38,8100
60,12500
43,9100
37,7900
57,11900
37,7900
33,7100
39,8300
55,11500
35,7500
36,7700
21,4700
38,8100
48,10100
38,8100
27,5900
42,8900
26,5700
53,11100
53,11100
73,15100
39,8300
35,7500
24,5300
74,15300
39,8300
18,4100
20,4500
25,5500
23,5100
50,10500
72,14900
51,10700
28,6100
18,4100
33,7100
47,9900
59,12300
59,12300
29,6300
60,12500
73,15100
74,15300
62,12900
67,13900
52,10900
44,9300
18,4100
47,9900
25,5500
73,15100
47,9900
38,8100
52,10900
41,8700
28,6100
26,5700
29,6300
67,13900
46,9700
33,7100
29,6300
30,6500
23,5100
74,15300
44,9300
22,4900
58,12100
35,7500
32,6900
74,15300
59,12300
37,7900
25,5500
71,14700
38,8100
50,10500
58,12100
61,12700
35,7500
19,4300
22,4900
40,8500
33,7100
27,5900
52,10900
70,14500
37,7900
31,6700
41,8700
54,11300
29,6300
22,4900
18,4100
73,15100
53,11100
67,13900
29,6300
26,5700
42,8900
54,11300
32,6900
50,10500
19,4300
37,7900
37,7900
47,9900
73,15100
23,5100
66,13700
26,5700
20,4500
36,7700
49,10300
29,6300
23,5100
59,12300
63,13100
44,9300
30,6500
45,9500
38,8100
67,13900
35,7500
51,10700
24,5300
